Country,Year,Population Density
Mozambique,2022,41.13
Myanmar,2022,80.08
Namibia,2022,3.11
Nauru,2022,603.24
Nepal,2022,207.55
Netherlands,2022,419.69
New Caledonia,2022,15.61
New Zealand,2022,19.17
Nicaragua,2022,53.3
Niger,2022,20.69
Nigeria,2022,236.58
Niue,2022,7.44
North Korea,2022,216.28
North Macedonia,2022,81.42
Northern Mariana Islands,2022,106.79
Norway,2022,16.78
Oman,2022,14.79
Pakistan,2022,267.4
Palau,2022,39.34
Palestine,2022,844.06
Panama,2022,58.46
Papua New Guinea,2022,21.91
Paraguay,2022,16.67
Peru,2022,26.49
Philippines,2022,337.54
Poland,2022,127.47
Portugal,2022,111.53
Puerto Rico,2022,366.67
Qatar,2022,232.62
Republic of the Congo,2022,17.46
Reunion,2022,387.91
Romania,2022,82.47
Russia,2022,8.46
Rwanda,2022,523.07
Saint Barthelemy,2022,522.24
Saint Kitts and Nevis,2022,182.59
Saint Lucia,2022,291.98
Saint Martin,2022,599.83
Saint Pierre and Miquelon,2022,24.22
Saint Vincent and the Grenadines,2022,267.22
Samoa,2022,78.25
San Marino,2022,551.8
Sao Tome and Principe,2022,235.87
Saudi Arabia,2022,16.94
Senegal,2022,88.02
Serbia,2022,81.73
Seychelles,2022,236.99
Sierra Leone,2022,119.96
Singapore,2022,8416.46
Sint Maarten,2022,1299.26
Slovakia,2022,115.09
Slovenia,2022,104.56
Solomon Islands,2022,25.06
Somalia,2022,27.6
South Africa,2022,49.05
South Korea,2022,517.07
South Sudan,2022,17.61
Spain,2022,93.99
Sri Lanka,2022,332.76
Sudan,2022,24.85
Suriname,2022,3.77
Sweden,2022,23.43
Switzerland,2022,211.72
Syria,2022,119.48
Taiwan,2022,660.17
Tajikistan,2022,69.55
Tanzania,2022,69.3
Thailand,2022,139.73
Timor-Leste,2022,90.18
Togo,2022,155.83
Tokelau,2022,155.92
Tonga,2022,143.05
Trinidad and Tobago,2022,298.45
Tunisia,2022,75.52
Turkey,2022,108.91
Turkmenistan,2022,13.18
Turks and Caicos Islands,2022,48.21
Tuvalu,2022,435.08
Uganda,2022,195.61
Ukraine,2022,65.79
United Arab Emirates,2022,112.93
United Kingdom,2022,277.93
United States,2022,36.09
United States Virgin Islands,2022,286.64
Uruguay,2022,18.91
Uzbekistan,2022,77.4
Vanuatu,2022,26.81
Vatican City,2022,510
Venezuela,2022,30.88
Vietnam,2022,296.45
Wallis and Futuna,2022,81.49
Western Sahara,2022,2.17
Yemen,2022,63.82
Zambia,2022,26.6
Zimbabwe,2022,41.77
